x,y,z,QdotMean
0.08,-0.0254,0.01905,11.2638
0.08,-0.025196,0.01905,11.2638
0.08,-0.024992,0.01905,602.344
0.08,-0.024788,0.01905,3589.04
0.08,-0.0245839,0.01905,6727.02
0.08,-0.0243799,0.01905,10511.2
0.08,-0.0241759,0.01905,14193.7
0.08,-0.0239719,0.01905,16901.3
0.08,-0.0237679,0.01905,16901.3
0.08,-0.0235639,0.01905,20385.6
0.08,-0.0233598,0.01905,24425.7
0.08,-0.0231558,0.01905,27348.7
0.08,-0.0229518,0.01905,29323.8
0.08,-0.0227478,0.01905,29252.9
0.08,-0.0225438,0.01905,29252.9
0.08,-0.0223398,0.01905,31227.2
0.08,-0.0221357,0.01905,33401.3
0.08,-0.0219317,0.01905,36782.9
0.08,-0.0217277,0.01905,36782.9
0.08,-0.0215237,0.01905,39960.4
0.08,-0.0213197,0.01905,43653.9
0.08,-0.0211157,0.01905,46410.1
0.08,-0.0209116,0.01905,46410.1
0.08,-0.0207076,0.01905,49732.2
0.08,-0.0205036,0.01905,54179.8
0.08,-0.0202996,0.01905,62493.7
0.08,-0.0200956,0.01905,62493.7
0.08,-0.0198916,0.01905,73622.5
0.08,-0.0196876,0.01905,97138.2
0.08,-0.0194835,0.01905,97138.2
0.08,-0.0192795,0.01905,153259
0.08,-0.0190755,0.01905,295045
0.08,-0.0188715,0.01905,295045
0.08,-0.0186675,0.01905,627224
0.08,-0.0184635,0.01905,700993
0.08,-0.0182594,0.01905,700993
0.08,-0.0180554,0.01905,543406
0.08,-0.0178514,0.01905,667792
0.08,-0.0176474,0.01905,667792
0.08,-0.0174434,0.01905,868833
0.08,-0.0172394,0.01905,967819
0.08,-0.0170353,0.01905,967819
0.08,-0.0168313,0.01905,1.27055e+06
0.08,-0.0166273,0.01905,1.72842e+06
0.08,-0.0164233,0.01905,1.72842e+06
0.08,-0.0162193,0.01905,2.0526e+06
0.08,-0.0160153,0.01905,2.0526e+06
0.08,-0.0158112,0.01905,2.20698e+06
0.08,-0.0156072,0.01905,2.11937e+06
0.08,-0.0154032,0.01905,2.11937e+06
0.08,-0.0151992,0.01905,1.9198e+06
0.08,-0.0149952,0.01905,1.9198e+06
0.08,-0.0147912,0.01905,2.20589e+06
0.08,-0.0145871,0.01905,2.70219e+06
0.08,-0.0143831,0.01905,2.70219e+06
0.08,-0.0141791,0.01905,3.38023e+06
0.08,-0.0139751,0.01905,3.38023e+06
0.08,-0.0137711,0.01905,4.29709e+06
0.08,-0.0135671,0.01905,4.29709e+06
0.08,-0.0133631,0.01905,4.97416e+06
0.08,-0.013159,0.01905,4.97416e+06
0.08,-0.012955,0.01905,6.17856e+06
0.08,-0.012751,0.01905,7.22212e+06
0.08,-0.012547,0.01905,7.22212e+06
0.08,-0.012343,0.01905,8.36343e+06
0.08,-0.012139,0.01905,8.36343e+06
0.08,-0.0119349,0.01905,9.94341e+06
0.08,-0.0117309,0.01905,9.94341e+06
0.08,-0.0115269,0.01905,1.11523e+07
0.08,-0.0113229,0.01905,1.11523e+07
0.08,-0.0111189,0.01905,1.24832e+07
0.08,-0.0109149,0.01905,1.24832e+07
0.08,-0.0107108,0.01905,1.41456e+07
0.08,-0.0105068,0.01905,1.41456e+07
0.08,-0.0103028,0.01905,1.59746e+07
0.08,-0.0100988,0.01905,1.59746e+07
0.08,-0.00989478,0.01905,1.88935e+07
0.08,-0.00969076,0.01905,1.88935e+07
0.08,-0.00948675,0.01905,2.17478e+07
0.08,-0.00928273,0.01905,2.17478e+07
0.08,-0.00907871,0.01905,2.60172e+07
0.08,-0.0088747,0.01905,2.60172e+07
0.08,-0.00867068,0.01905,3.08199e+07
0.08,-0.00846667,0.01905,3.08199e+07
0.08,-0.00826265,0.01905,3.45658e+07
0.08,-0.00805863,0.01905,3.45658e+07
0.08,-0.00785462,0.01905,3.92689e+07
0.08,-0.0076506,0.01905,3.92689e+07
0.08,-0.00744659,0.01905,4.55806e+07
0.08,-0.00724257,0.01905,4.55806e+07
0.08,-0.00703855,0.01905,5.11695e+07
0.08,-0.00683454,0.01905,5.11695e+07
0.08,-0.00663052,0.01905,5.62757e+07
