x,y,z,QVolMean
0.125,-0.0254,0.01905,-8.44769e-21
0.125,-0.025196,0.01905,4.77799e-07
0.125,-0.024992,0.01905,2.41259e-06
0.125,-0.024788,0.01905,5.90095e-06
0.125,-0.0245839,0.01905,1.0571e-05
0.125,-0.0243799,0.01905,1.54737e-05
0.125,-0.0241759,0.01905,1.96386e-05
0.125,-0.0239719,0.01905,2.29047e-05
0.125,-0.0237679,0.01905,2.51404e-05
0.125,-0.0235639,0.01905,2.58158e-05
0.125,-0.0233598,0.01905,2.55336e-05
0.125,-0.0231558,0.01905,2.56921e-05
0.125,-0.0229518,0.01905,2.62407e-05
0.125,-0.0227478,0.01905,2.70052e-05
0.125,-0.0225438,0.01905,2.79407e-05
0.125,-0.0223398,0.01905,2.91407e-05
0.125,-0.0221357,0.01905,3.06577e-05
0.125,-0.0219317,0.01905,3.27086e-05
0.125,-0.0217277,0.01905,3.53164e-05
0.125,-0.0215237,0.01905,3.85624e-05
0.125,-0.0213197,0.01905,4.27623e-05
0.125,-0.0211157,0.01905,4.93671e-05
0.125,-0.0209116,0.01905,5.92193e-05
0.125,-0.0207076,0.01905,7.42113e-05
0.125,-0.0205036,0.01905,9.60227e-05
0.125,-0.0202996,0.01905,0.000124618
0.125,-0.0200956,0.01905,0.000152504
0.125,-0.0198916,0.01905,0.000181987
0.125,-0.0196876,0.01905,0.000212707
0.125,-0.0194835,0.01905,0.000245323
0.125,-0.0192795,0.01905,0.000302593
0.125,-0.0190755,0.01905,0.000349791
0.125,-0.0188715,0.01905,0.000412802
0.125,-0.0186675,0.01905,0.000455968
0.125,-0.0184635,0.01905,0.000541154
0.125,-0.0182594,0.01905,0.00063388
0.125,-0.0180554,0.01905,0.000701324
0.125,-0.0178514,0.01905,0.000734208
0.125,-0.0176474,0.01905,0.000753382
0.125,-0.0174434,0.01905,0.000798723
0.125,-0.0172394,0.01905,0.000902469
0.125,-0.0170353,0.01905,0.00103801
0.125,-0.0168313,0.01905,0.00124058
0.125,-0.0166273,0.01905,0.00145775
0.125,-0.0164233,0.01905,0.00170184
0.125,-0.0162193,0.01905,0.00197232
0.125,-0.0160153,0.01905,0.00225672
0.125,-0.0158112,0.01905,0.00254389
0.125,-0.0156072,0.01905,0.00289474
0.125,-0.0154032,0.01905,0.003256
0.125,-0.0151992,0.01905,0.00366954
0.125,-0.0149952,0.01905,0.00399762
0.125,-0.0147912,0.01905,0.00427425
0.125,-0.0145871,0.01905,0.00459417
0.125,-0.0143831,0.01905,0.00497947
0.125,-0.0141791,0.01905,0.00550375
0.125,-0.0139751,0.01905,0.00600615
0.125,-0.0137711,0.01905,0.00651885
0.125,-0.0135671,0.01905,0.00697173
0.125,-0.0133631,0.01905,0.00745882
0.125,-0.013159,0.01905,0.00797389
0.125,-0.012955,0.01905,0.00851838
0.125,-0.012751,0.01905,0.0091069
0.125,-0.012547,0.01905,0.00981071
