x,y,z,QdotMean
0.265,-0.0190755,0.01905,305.268
0.265,-0.0188715,0.01905,3234.94
0.265,-0.0186675,0.01905,20766.1
0.265,-0.0184635,0.01905,92314.4
0.265,-0.0182594,0.01905,166193
0.265,-0.0180554,0.01905,168337
0.265,-0.0178514,0.01905,215873
0.265,-0.0176474,0.01905,292203
0.265,-0.0174434,0.01905,248882
0.265,-0.0172394,0.01905,176689
0.265,-0.0170353,0.01905,147384
0.265,-0.0168313,0.01905,143364
0.265,-0.0166273,0.01905,141790
0.265,-0.0164233,0.01905,133120
0.265,-0.0162193,0.01905,131918
0.265,-0.0160153,0.01905,143060
0.265,-0.0158112,0.01905,165195
0.265,-0.0156072,0.01905,191449
0.265,-0.0154032,0.01905,216287
0.265,-0.0151992,0.01905,230105
0.265,-0.0149952,0.01905,236077
0.265,-0.0147912,0.01905,242772
0.265,-0.0145871,0.01905,253184
0.265,-0.0143831,0.01905,267573
0.265,-0.0141791,0.01905,290635
0.265,-0.0139751,0.01905,321763
0.265,-0.0137711,0.01905,359460
0.265,-0.0135671,0.01905,402145
0.265,-0.0133631,0.01905,440685
0.265,-0.013159,0.01905,473324
0.265,-0.012955,0.01905,511895
0.265,-0.012751,0.01905,541977
0.265,-0.012547,0.01905,540899
0.265,-0.012343,0.01905,532773
0.265,-0.012139,0.01905,565990
0.265,-0.0119349,0.01905,640118
0.265,-0.0117309,0.01905,705816
0.265,-0.0115269,0.01905,776381
0.265,-0.0113229,0.01905,901535
0.265,-0.0111189,0.01905,1.05291e+06
0.265,-0.0109149,0.01905,1.18841e+06
0.265,-0.0107108,0.01905,1.32656e+06
0.265,-0.0105068,0.01905,1.44217e+06
0.265,-0.0103028,0.01905,1.55336e+06
0.265,-0.0100988,0.01905,1.72126e+06
0.265,-0.00989478,0.01905,1.97588e+06
0.265,-0.00969076,0.01905,2.34211e+06
0.265,-0.00948675,0.01905,2.76151e+06
0.265,-0.00928273,0.01905,3.16507e+06
0.265,-0.00907871,0.01905,3.5207e+06
0.265,-0.0088747,0.01905,3.83773e+06
0.265,-0.00867068,0.01905,4.26673e+06
0.265,-0.00846667,0.01905,4.95337e+06
0.265,-0.00826265,0.01905,5.66829e+06
0.265,-0.00805863,0.01905,6.25352e+06
0.265,-0.00785462,0.01905,6.84293e+06
0.265,-0.0076506,0.01905,7.41365e+06
0.265,-0.00744659,0.01905,8.12245e+06
0.265,-0.00724257,0.01905,8.901e+06
0.265,-0.00703855,0.01905,9.94507e+06
0.265,-0.00683454,0.01905,1.1048e+07
0.265,-0.00663052,0.01905,1.23884e+07
0.265,-0.00642651,0.01905,1.37703e+07
0.265,-0.00622249,0.01905,1.52057e+07
0.265,-0.00601847,0.01905,1.66101e+07
0.265,-0.00581446,0.01905,1.8029e+07
0.265,-0.00561044,0.01905,1.97009e+07
0.265,-0.00540643,0.01905,2.15294e+07
0.265,-0.00520241,0.01905,2.34854e+07
0.265,-0.00499839,0.01905,2.53756e+07
0.265,-0.00479438,0.01905,2.73473e+07
0.265,-0.00459036,0.01905,2.9501e+07
0.265,-0.00438635,0.01905,3.1151e+07
0.265,-0.00418233,0.01905,3.22924e+07
0.265,-0.00397831,0.01905,3.2888e+07
0.265,-0.0037743,0.01905,3.3411e+07
0.265,-0.00357028,0.01905,3.42118e+07
0.265,-0.00336627,0.01905,3.52808e+07
0.265,-0.00316225,0.01905,3.66724e+07
0.265,-0.00295823,0.01905,3.80219e+07
0.265,-0.00275422,0.01905,3.88066e+07
0.265,-0.0025502,0.01905,3.90027e+07
0.265,-0.00234618,0.01905,3.87033e+07
0.265,-0.00214217,0.01905,3.82676e+07
0.265,-0.00193815,0.01905,3.84585e+07
0.265,-0.00173414,0.01905,3.90485e+07
0.265,-0.00153012,0.01905,3.92292e+07
0.265,-0.0013261,0.01905,3.90244e+07
0.265,-0.00112209,0.01905,3.88518e+07
0.265,-0.000918072,0.01905,3.88975e+07
0.265,-0.000714056,0.01905,3.8816e+07
0.265,-0.00051004,0.01905,3.83092e+07
0.265,-0.000306024,0.01905,3.73405e+07
0.265,-0.000102008,0.01905,3.62508e+07
0.265,0.000102008,0.01905,3.5297e+07
0.265,0.000306024,0.01905,3.42367e+07
0.265,0.00051004,0.01905,3.27953e+07
0.265,0.000714056,0.01905,3.1278e+07
0.265,0.000918072,0.01905,3.02304e+07
0.265,0.00112209,0.01905,2.90379e+07
0.265,0.0013261,0.01905,2.73945e+07
0.265,0.00153012,0.01905,2.56237e+07
0.265,0.00173414,0.01905,2.36425e+07
0.265,0.00193815,0.01905,2.19147e+07
0.265,0.00214217,0.01905,2.04204e+07
0.265,0.00234618,0.01905,1.91833e+07
0.265,0.0025502,0.01905,1.8153e+07
0.265,0.00275422,0.01905,1.71413e+07
0.265,0.00295823,0.01905,1.60918e+07
0.265,0.00316225,0.01905,1.50838e+07
0.265,0.00336627,0.01905,1.40428e+07
0.265,0.00357028,0.01905,1.30663e+07
0.265,0.0037743,0.01905,1.22226e+07
0.265,0.00397831,0.01905,1.13923e+07
0.265,0.00418233,0.01905,1.06726e+07
0.265,0.00438635,0.01905,9.95306e+06
0.265,0.00459036,0.01905,9.25959e+06
0.265,0.00479438,0.01905,8.55478e+06
0.265,0.00499839,0.01905,8.0177e+06
0.265,0.00520241,0.01905,7.59798e+06
0.265,0.00540643,0.01905,7.26117e+06
0.265,0.00561044,0.01905,7.50806e+06
0.265,0.00581446,0.01905,7.75566e+06
0.265,0.00601847,0.01905,7.39465e+06
0.265,0.00622249,0.01905,6.77562e+06
0.265,0.00642651,0.01905,5.91065e+06
0.265,0.00663052,0.01905,3.7848e+06
0.265,0.00683454,0.01905,3.28713e+06
0.265,0.00703855,0.01905,2.9158e+06
0.265,0.00724257,0.01905,2.64546e+06
0.265,0.00744659,0.01905,2.36442e+06
0.265,0.0076506,0.01905,2.06464e+06
0.265,0.00785462,0.01905,1.78236e+06
0.265,0.00805863,0.01905,1.57714e+06
0.265,0.00826265,0.01905,1.39474e+06
0.265,0.00846667,0.01905,1.21928e+06
0.265,0.00867068,0.01905,1.02247e+06
0.265,0.0088747,0.01905,810465
0.265,0.00907871,0.01905,623592
0.265,0.00928273,0.01905,498635
0.265,0.00948675,0.01905,407411
0.265,0.00969076,0.01905,327002
0.265,0.00989478,0.01905,258660
0.265,0.0100988,0.01905,193931
0.265,0.0103028,0.01905,131355
0.265,0.0105068,0.01905,90550.4
0.265,0.0107108,0.01905,56712.3
0.265,0.0109149,0.01905,38207.5
0.265,0.0111189,0.01905,21053.5
0.265,0.0113229,0.01905,13803.8
0.265,0.0115269,0.01905,6933.62
0.265,0.0117309,0.01905,4212.16
0.265,0.0119349,0.01905,1639.81
0.265,0.012139,0.01905,954.792
0.265,0.012343,0.01905,243.646
0.265,0.012547,0.01905,138.691
0.265,0.012751,0.01905,30.4674
0.265,0.012955,0.01905,6.27539
0.265,0.013159,0.01905,0.170381
0.265,0.0133631,0.01905,0.0516071
0.265,0.0135671,0.01905,0.00113966
0.265,0.0137711,0.01905,1.91817e-05
0.265,0.0139751,0.01905,6.18704e-06
0.265,0.0141791,0.01905,5.00262e-07
0.265,0.0143831,0.01905,1.31301e-07
0.265,0.0145871,0.01905,8.17638e-08
0.265,0.0147912,0.01905,6.59672e-08
0.265,0.0149952,0.01905,6.06103e-08
0.265,0.0151992,0.01905,5.87594e-08
0.265,0.0154032,0.01905,5.80409e-08
0.265,0.0156072,0.01905,5.77354e-08
0.265,0.0158112,0.01905,5.75887e-08
0.265,0.0160153,0.01905,5.75162e-08
0.265,0.0162193,0.01905,5.74799e-08
0.265,0.0164233,0.01905,5.74632e-08
0.265,0.0166273,0.01905,5.74578e-08
0.265,0.0168313,0.01905,5.74611e-08
0.265,0.0170353,0.01905,5.7472e-08
0.265,0.0172394,0.01905,5.74891e-08
0.265,0.0174434,0.01905,5.75106e-08
0.265,0.0176474,0.01905,5.75347e-08
0.265,0.0178514,0.01905,5.75581e-08
0.265,0.0180554,0.01905,5.75783e-08
0.265,0.0182594,0.01905,5.75944e-08
0.265,0.0184635,0.01905,5.76113e-08
0.265,0.0186675,0.01905,5.76354e-08
0.265,0.0188715,0.01905,5.76669e-08
0.265,0.0190755,0.01905,5.76907e-08
